d,rule,macro_f1,acc
5,residual_normed,0.4969891776141027,0.49817739975698666
5,proj_energy,0.4969891776141027,0.49817739975698666
10,residual_normed,0.4657780143574275,0.4665856622114216
10,proj_energy,0.4657780143574275,0.4665856622114216
15,residual_normed,0.4992047846818767,0.503037667071689
15,proj_energy,0.4925836781636452,0.4945321992709599
20,residual_normed,0.4992047846818767,0.503037667071689
20,proj_energy,0.4925836781636452,0.4945321992709599
30,residual_normed,0.4992047846818767,0.503037667071689
30,proj_energy,0.4925836781636452,0.4945321992709599
40,residual_normed,0.4992047846818767,0.503037667071689
40,proj_energy,0.4925836781636452,0.4945321992709599
60,residual_normed,0.4992047846818767,0.503037667071689
60,proj_energy,0.4925836781636452,0.4945321992709599
